Size ,ST4-D2,ST4-D3,ST4-D4,ST4-D5,ST4-D6,ST5-D1,ST5-D2,ST5-D3,ST5-D4,ST5-D5,ST7-D1,ST7-D2,ST7-D3,ST7-D5,ST7-D6,ST4-U1,ST4-U2,ST4-U3,ST4-U4,ST4-U5,ST4-U6,ST4-U7,ST4-U9,ST4-U11,ST4-U14,ST5-U1,ST5-U2,ST5-U3,ST5-U4,ST5-U5,ST5-U6,ST5-U7,ST5-U8,ST5-U9,ST5-U10,ST5-U11,ST5-U12,ST6-U1,ST6-U2,ST6-U3,ST6-U4,ST6-U5,ST6-U8,ST6-U10,ST7-U1,ST7-U2,ST7-U3,ST7-U5,ST7-U7
0.37,0.087454806,0.047340957,0.066660765,0.029512994,0.070713605,0.05830202,0.030990826,0.026058746,0.017776086,0.014923276,0.030608178,0.021479368,0.013183201,0.012787683,0.014587408,0.065473278,0.092163557,0.052423128,0.054936822,0.046999601,0.034085448,0.012504667,0.011108226,0.019431453,0.011186231,0.022903341,0.019851092,0.01694988,0.015313505,0.013661374,0.012562066,0.010877123,0.008142549,0.014077007,0.00774565,0.012547287,0.013072052,0.049648238,0.024955316,0.023205649,0.01936112,0.018742382,0.018565926,0.014819662,0.018752955,0.022682791,0.020482293,0.013311464,0.010190326
0.44,0.092536692,0.050206709,0.070742148,0.030623605,0.07615035,0.062387158,0.033433274,0.028067654,0.019321367,0.016464624,0.033676121,0.023250181,0.014034207,0.013710377,0.015828856,0.070584885,0.099080535,0.056920283,0.059926189,0.051667268,0.036927537,0.013369725,0.01232319,0.02195788,0.011818787,0.024756949,0.021840816,0.018566659,0.01652327,0.014794748,0.013689558,0.011827395,0.008487164,0.015376086,0.008316878,0.013919646,0.014432748,0.052427663,0.026405776,0.024885262,0.020533129,0.019876969,0.019731157,0.016019028,0.020473828,0.022767183,0.024670191,0.01431536,0.011251068
0.52,0.100553209,0.054828181,0.07717706,0.032640994,0.084632679,0.068493932,0.037560434,0.031411133,0.021683597,0.018595571,0.038658413,0.026383922,0.016145953,0.014976342,0.017926091,0.078055567,0.109667473,0.064628448,0.067435981,0.059360917,0.042093571,0.015106813,0.013882097,0.02587487,0.012740266,0.027592034,0.024686381,0.021114615,0.018567456,0.0170728,0.015231362,0.01312734,0.009493013,0.017151882,0.009464319,0.015680502,0.016289976,0.056771667,0.028631675,0.027495029,0.022884556,0.021795925,0.02206958,0.018045454,0.022937192,0.026738669,0.024834541,0.016011915,0.012698873
0.61,0.111227014,0.060831018,0.086108915,0.035066037,0.096600553,0.076839073,0.04328423,0.036013825,0.025277374,0.021878962,0.046069575,0.030394731,0.018679003,0.017133898,0.020838631,0.088382276,0.125065681,0.075404522,0.078454205,0.070522164,0.049494851,0.017131477,0.016639418,0.031915931,0.013913694,0.031935788,0.028714521,0.02497789,0.021402591,0.01973302,0.017511524,0.015048639,0.010823176,0.01977963,0.010985762,0.018123774,0.019044937,0.062366864,0.031690336,0.031270813,0.025620791,0.024442569,0.025161938,0.020857216,0.026753096,0.030741456,0.02914711,0.018362878,0.014846508
0.72,0.123854619,0.068311018,0.096972873,0.038151517,0.111404689,0.087148005,0.050446139,0.041706074,0.029683007,0.02619712,0.055403918,0.035333243,0.022070858,0.019624606,0.025008448,0.101010346,0.143114179,0.089052857,0.092205548,0.084721759,0.058674927,0.020024639,0.02033706,0.040023994,0.015359908,0.036951149,0.033979623,0.030010994,0.02545932,0.023907945,0.02019643,0.017310834,0.012175539,0.023297654,0.012900492,0.021620435,0.02273584,0.068997429,0.035287834,0.035805931,0.029151956,0.027858507,0.029423339,0.024492479,0.031303748,0.034810153,0.037719811,0.02140125,0.017723742
0.85,0.139692019,0.077219668,0.109371576,0.042151799,0.128096401,0.09957271,0.058842328,0.048162031,0.034779533,0.030995529,0.066439106,0.04148768,0.026235161,0.022366445,0.029936796,0.115526858,0.164178432,0.104877976,0.107967963,0.101047179,0.069396163,0.023152015,0.024296455,0.04872501,0.017167236,0.042483545,0.039955624,0.035658752,0.029855562,0.028405238,0.022834004,0.019532114,0.013818214,0.027614766,0.015156553,0.025411145,0.027274007,0.076924493,0.039625042,0.041030629,0.033361173,0.031932189,0.033619077,0.028853768,0.036459906,0.042671191,0.042034458,0.025366949,0.020912934
1.01,0.168021632,0.093264002,0.131143959,0.050215693,0.154171071,0.120373709,0.07135893,0.057952005,0.042050052,0.037883464,0.081343124,0.050872811,0.031897316,0.0273703,0.036725763,0.13829925,0.198743996,0.127576367,0.131179153,0.123714657,0.083629217,0.02838357,0.029923585,0.059541481,0.020541177,0.05079772,0.04845688,0.042980878,0.036837944,0.034225236,0.026820632,0.023196695,0.016349683,0.033905788,0.018070429,0.031096144,0.033453098,0.091916524,0.04728356,0.049443485,0.040386013,0.038371387,0.040618668,0.035008134,0.044791872,0.0503085,0.054513584,0.030497015,0.025382968
1.19,0.235317291,0.130621443,0.182920075,0.069499151,0.214707732,0.168069857,0.100021727,0.080054789,0.058474778,0.052595244,0.114569555,0.072962813,0.044374676,0.037909696,0.052230192,0.192045006,0.278424657,0.179083033,0.184493214,0.173336455,0.116886932,0.039337235,0.041407338,0.083141789,0.028498735,0.06942153,0.067302094,0.059548555,0.050717727,0.046894543,0.036210131,0.031406066,0.022020999,0.047255328,0.024964928,0.043070254,0.046624381,0.127842845,0.065472946,0.068479222,0.056584802,0.05297464,0.056388628,0.04840447,0.062695745,0.073198211,0.075141996,0.042310641,0.035307635
1.4,0.353408794,0.19633489,0.274237856,0.10163282,0.324948677,0.251816464,0.151669917,0.120291783,0.088086308,0.079004762,0.176890501,0.114594674,0.068138844,0.057242573,0.080854936,0.288751485,0.422728758,0.274484616,0.28314038,0.266419526,0.177972119,0.059613725,0.062918046,0.12947346,0.041841468,0.103445738,0.101933075,0.090679062,0.075404124,0.069349408,0.052837217,0.046013116,0.031159552,0.070618589,0.037490574,0.064364394,0.069454515,0.190663005,0.097637045,0.103218203,0.084931444,0.078986004,0.084267424,0.072528726,0.096531956,0.111306809,0.116451488,0.064033666,0.054488179
1.65,0.450035676,0.251058931,0.347980889,0.126072127,0.416118763,0.320241393,0.194428226,0.152890276,0.112280689,0.100854423,0.232659117,0.15288093,0.08861952,0.073261956,0.105744568,0.36886402,0.542017176,0.355055862,0.366814029,0.346403959,0.229673161,0.076200626,0.081352273,0.170240207,0.052389583,0.13205027,0.130875872,0.116866306,0.096120054,0.088087982,0.065504577,0.057275569,0.037893752,0.090174695,0.047587277,0.08157025,0.088311664,0.241491178,0.124178436,0.132389965,0.109398328,0.100910219,0.108284955,0.093106449,0.126391972,0.148665276,0.152830484,0.081811882,0.070898471
