Size,Ws (m/s)
0.37,0.00000004
0.44,0.00000006
0.52,0.00000008
0.61,0.00000012
0.72,0.00000016
0.85,0.00000023
1.01,0.00000034
1.19,0.00000049
1.4,0.00000071
1.65,0.00000103
1.95,0.00000151
2.3,0.00000220
2.72,0.00000323
3.2,0.00000471
3.78,0.00000691
4.46,0.00001013
5.27,0.00001487
6.21,0.00002165
7.33,0.00003159
8.65,0.00004593
10.21,0.00006662
12.05,0.00009624
14.22,0.00013843
16.78,0.00019819
19.81,0.00028262
23.37,0.0004
27.58,0.0006
32.55,0.0008
38.41,0.0011
45.32,0.0015
53.48,0.0021
63.11,0.0028
74.48,0.0038
87.89,0.0052
103.72,0.0069
122.39,0.0091
144.43,0.0119
170.44,0.0154
201.13,0.01989
237.35,0.02540
280.09,0.03215
330.52,0.04032
390.04,0.05011
460.27,0.06167
500,0.06815
700,0.09952
850,0.12107
1000,0.14065
2000,0.22928
