size,class,time_in_suspension,time_as_mixed_load,time_as_bedload
0.5,Clay,256.0,0.0,0.0
1.0,Clay,256.0,0.0,0.0
2.0,Silt,256.0,0.0,0.0
5.0,Silt,256.0,0.0,0.0
20.0,Silt,256.0,0.0,0.0
45.0,Silt,256.0,0.0,0.0
63.0,Fine Sand,256.0,0.0,0.0
75.0,Fine Sand,256.0,0.0,0.0
88.0,Fine Sand,256.0,0.0,0.0
100.0,Fine Sand,256.0,0.0,0.0
144.0,Fine Sand,256.0,0.0,0.0
200.0,Fine Sand,256.0,0.0,0.0
280.0,Fine Sand,256.0,0.0,0.0
330.0,Fine Sand,256.0,0.0,0.0
390.0,Fine Sand,256.0,0.0,0.0
460.0,Fine Sand,256.0,0.0,0.0
500.0,Fine Sand,256.0,0.0,0.0
550.0,Fine Sand,256.0,0.0,0.0
600.0,Fine Sand,244.5,11.5,3.5
650.0,Fine Sand,133.5,122.5,56.0
700.0,Fine Sand,48.25,207.75,185.0
750.0,Fine Sand,25.25,230.75,219.0
850.0,Coarse Sand,0.0,256.0,252.0
900.0,Coarse Sand,0.0,256.0,256.0
1000.0,Coarse Sand,0.0,256.0,256.0
1200.0,Coarse Sand,0.0,256.0,256.0
1400.0,Coarse Sand,0.0,256.0,256.0
1600.0,Coarse Sand,0.0,256.0,256.0
1800.0,Coarse Sand,0.0,256.0,256.0
2000.0,Coarse Sand,0.0,256.0,256.0
