size,class,time_in_suspension,time_as_mixed_load,time_as_bedload
0.5,Clay,2112.0,0.0,0.0
1.0,Clay,2112.0,0.0,0.0
2.0,Silt,2112.0,0.0,0.0
5.0,Silt,2112.0,0.0,0.0
20.0,Silt,2112.0,0.0,0.0
45.0,Silt,2112.0,0.0,0.0
63.0,Fine Sand,2112.0,0.0,0.0
75.0,Fine Sand,2112.0,0.0,0.0
88.0,Fine Sand,2043.75,68.25,0.0
100.0,Fine Sand,1321.25,790.75,0.0
144.0,Fine Sand,411.0,1701.0,0.0
200.0,Fine Sand,10.0,2102.0,36.75
280.0,Fine Sand,1.0,2111.0,9.0
330.0,Fine Sand,0.25,2110.5,6.75
390.0,Fine Sand,0.0,2072.75,0.0
460.0,Fine Sand,0.0,1701.25,2.75
500.0,Fine Sand,0.0,1321.25,1.5
550.0,Fine Sand,0.0,1118.25,1.5
600.0,Fine Sand,0.0,1003.25,1.5
650.0,Fine Sand,0.0,853.75,1.5
700.0,Fine Sand,0.0,734.75,1.25
750.0,Fine Sand,0.0,615.25,1.25
850.0,Coarse Sand,0.0,377.0,1.0
900.0,Coarse Sand,0.0,310.0,1.0
1000.0,Coarse Sand,0.0,190.75,0.75
1200.0,Coarse Sand,0.0,27.25,0.25
1400.0,Coarse Sand,0.0,15.5,0.25
1600.0,Coarse Sand,0.0,10.0,0.0
1800.0,Coarse Sand,0.0,4.75,0.0
2000.0,Coarse Sand,0.0,2.75,0.0
