,Total_grams
0.37,944.7202938054622
0.44,1035.0478110079605
0.52,1188.6478532188905
0.61,1421.9932611834604
0.72,1737.048795650842
0.85,2102.2690952777602
1.01,2538.3452734133666
1.19,3474.607646054131
1.4,5296.331032034799
1.65,6874.957325908746
1.95,8540.04664306013
2.3,10938.602774338236
2.72,12801.898442815842
3.2,15573.839711607081
3.78,18377.915072940203
4.46,22170.651724897187
5.27,26344.81386578436
6.21,30319.508980505394
7.33,33877.034975590475
8.65,38432.048065299765
10.21,43843.67559419405
12.05,49341.65832363712
14.22,57258.43171760229
16.78,66189.28495637198
19.81,76880.82326345627
23.37,89903.92832882676
27.58,105800.46632195226
32.55,121057.20885535746
38.41,137283.03411930962
45.32,154087.8122259361
53.48,167729.50382119766
63.11,177889.34180400925
74.48,177252.5338200831
87.89,170182.56747836983
103.72,150486.77611684383
122.39,128651.43200986763
144.43,104578.80218440757
170.44,82059.54918135927
201.13,60889.65572245248
237.35,46121.13575681339
280.09,35438.957050603705
330.52,28521.94748073883
390.04,22512.888671474146
460.27,18606.324768770042
