,Total_grams
0.37,1129.9432489431015
0.44,1243.0894817994767
0.52,1437.4784096471317
0.61,1730.9571726569498
0.72,2130.612892471386
0.85,2587.876967238698
1.01,3117.447179070764
1.19,4242.377586540098
1.4,6435.993705125171
1.65,8296.29168246199
1.95,10249.090105057903
2.3,13153.165926871301
2.72,15337.877893829076
3.2,18734.039653192922
3.78,22132.719064604193
4.46,26815.25547222211
5.27,31997.722936108916
6.21,36896.64751939352
7.33,41260.42944975401
8.65,46897.69846339182
10.21,53666.67272815966
12.05,60734.96424199508
14.22,71023.43758884087
16.78,82951.62732354255
19.81,97582.53110794164
23.37,115854.161714947
27.58,138003.50033811486
32.55,158827.76820949902
38.41,178868.15650607285
45.32,195790.7835292581
53.48,205620.21946552093
63.11,207656.5557882527
74.48,197514.20781920926
87.89,179654.2683132987
103.72,150619.90969995828
122.39,121024.75524450059
144.43,90893.88424715676
170.44,63416.279912601574
201.13,40118.359370745515
237.35,25015.690951657252
280.09,15796.197069755925
330.52,9879.028606468197
390.04,5340.66463249792
460.27,2463.846649496787
