,Total_grams
0.37,121.63301001001332
0.44,128.98334861110698
0.52,140.26905973822824
0.61,155.86958589206054
0.72,174.65833879103073
0.85,198.2178613139647
1.01,239.60206372725833
1.19,336.5596425845208
1.4,508.07862446360355
1.65,652.9659136892753
1.95,793.4462130533067
2.3,963.9792723510052
2.72,1128.2743118988321
3.2,1319.5137642981006
3.78,1553.0988409178524
4.46,1860.5253424360744
5.27,2228.083253532355
6.21,2619.7208638728234
7.33,3001.703725310798
8.65,3443.7330244719456
10.21,3922.5219288557923
12.05,4397.173502197062
14.22,5086.443837786934
16.78,5847.524032064258
19.81,6705.506178886093
23.37,7507.811450732561
27.58,8383.409829747901
32.55,9172.859079840528
38.41,9978.876039844194
45.32,10712.12532086704
53.48,11051.812527840653
63.11,11226.304173814657
74.48,10598.546632346266
87.89,9642.07233911943
103.72,7649.55092389863
122.39,5251.057574703231
144.43,2273.5544804247847
170.44,752.9032943125419
201.13,435.8865723509208
237.35,299.2768988153243
280.09,222.33215254229015
330.52,40.67712570082013
390.04,0.0
460.27,0.0
