Date_Time,Turbidity (NTU),SSC (mg/L),C_conc,S_conc,FS_conc
4/17/2023 12:14,3.816,2.715,0.00,1.99,1.66
4/17/2023 12:29,5.742,4.673,0.01,3.05,2.52
4/17/2023 12:44,6.163,5.102,0.02,3.28,2.71
4/17/2023 12:59,6.132,5.070,0.02,3.27,2.70
4/17/2023 13:14,6.109,5.047,0.02,3.25,2.69
4/17/2023 13:29,4.285,3.192,0.00,2.25,1.87
4/17/2023 13:44,5.938,4.873,0.01,3.16,2.61
4/17/2023 13:59,4.285,3.191,0.00,2.25,1.87
4/17/2023 14:14,4.777,3.692,0.00,2.52,2.09
4/17/2023 14:29,4.828,3.744,0.00,2.55,2.12
4/17/2023 14:44,4.657,3.570,0.00,2.45,2.04
4/17/2023 14:59,4.690,3.604,0.00,2.47,2.05
4/17/2023 15:14,4.683,3.596,0.00,2.47,2.05
4/17/2023 15:29,4.444,3.353,0.00,2.34,1.94
4/17/2023 15:44,1.577,0.437,0.00,0.76,0.67
4/17/2023 19:44,12.692,11.741,0.15,6.88,5.62
4/17/2023 19:59,10.131,9.137,0.10,5.47,4.48
4/17/2023 20:14,14.446,13.525,0.19,7.84,6.40
4/17/2023 20:29,19.153,18.313,0.29,10.44,8.50
4/17/2023 20:44,24.142,23.386,0.39,13.18,10.73
4/17/2023 20:59,20.993,20.184,0.32,11.45,9.32
4/17/2023 21:14,20.346,19.525,0.31,11.09,9.03
4/17/2023 21:29,15.077,14.167,0.20,8.19,6.68
4/17/2023 21:44,16.667,15.784,0.23,9.07,7.39
4/17/2023 21:59,13.185,12.243,0.16,7.15,5.84
4/17/2023 22:14,13.601,12.666,0.17,7.38,6.03
4/17/2023 22:29,11.061,10.083,0.12,5.98,4.89
4/17/2023 22:48,12.298,11.341,0.14,6.66,5.45
4/17/2023 23:03,13.851,12.920,0.18,7.52,6.14
4/17/2023 23:18,12.034,11.072,0.14,6.52,5.33
4/17/2023 23:33,12.147,11.187,0.14,6.58,5.38
4/17/2023 23:44,12.497,11.543,0.15,6.77,5.53
4/17/2023 23:59,12.579,11.627,0.15,6.82,5.57
4/18/2023 0:14,12.035,11.074,0.14,6.52,5.33
4/18/2023 0:29,14.262,13.338,0.18,7.74,6.32
4/18/2023 0:44,11.758,10.791,0.13,6.36,5.20
4/18/2023 0:59,11.747,10.780,0.13,6.36,5.20
4/18/2023 1:14,14.557,13.638,0.19,7.91,6.45
4/18/2023 1:29,11.066,10.088,0.12,5.98,4.90
4/18/2023 1:44,11.600,10.631,0.13,6.28,5.13
4/18/2023 1:59,12.821,11.872,0.15,6.95,5.68
4/18/2023 2:14,17.003,16.126,0.24,9.25,7.54
4/18/2023 2:29,11.523,10.552,0.13,6.23,5.10
4/18/2023 2:44,11.593,10.624,0.13,6.27,5.13
4/18/2023 2:59,13.562,12.627,0.17,7.36,6.01
4/18/2023 3:14,10.914,9.933,0.12,5.90,4.83
4/18/2023 3:29,10.908,9.927,0.12,5.90,4.83
