Date_Time,Turbidity (NTU),SSC (mg/L),C_conc,S_conc,FS_conc
7/5/2023 20:00,4.32,5.33,0.120,4.70,0
7/5/2023 20:15,4.16,4.89,0.109,4.45,0
7/5/2023 20:30,4.14,4.83,0.108,4.42,0
7/5/2023 20:45,4.18,4.94,0.111,4.48,0
7/5/2023 21:00,4.27,5.20,0.117,4.62,0
7/5/2023 21:15,4.29,5.25,0.118,4.65,0
7/5/2023 21:30,4.38,5.50,0.124,4.79,0
7/5/2023 21:45,4.39,5.53,0.125,4.81,0
7/5/2023 22:00,4.36,5.45,0.123,4.76,0
7/5/2023 22:15,4.34,5.39,0.121,4.73,0
7/5/2023 22:30,4.33,5.36,0.121,4.72,0
7/5/2023 22:45,4.32,5.33,0.120,4.70,0
7/5/2023 23:00,4.37,5.47,0.123,4.78,0
7/5/2023 23:15,4.27,5.20,0.117,4.62,0
7/5/2023 23:30,4.26,5.17,0.116,4.61,0
7/5/2023 23:45,4.27,5.20,0.117,4.62,0
7/6/2023 0:00,4.23,5.08,0.114,4.56,0
7/6/2023 0:15,4.22,5.06,0.113,4.54,0
7/6/2023 0:30,4.23,5.08,0.114,4.56,0
7/6/2023 0:45,4.27,5.20,0.117,4.62,0
7/6/2023 1:00,4.18,4.94,0.111,4.48,0
7/6/2023 1:15,4.13,4.80,0.107,4.40,0
7/6/2023 1:30,4.13,4.80,0.107,4.40,0
7/6/2023 1:45,4.1,4.72,0.106,4.36,0
7/6/2023 2:00,4.09,4.69,0.105,4.34,0
7/6/2023 2:15,4,4.44,0.099,4.20,0
7/6/2023 2:30,3.96,4.33,0.096,4.14,0
7/6/2023 2:45,3.97,4.36,0.097,4.15,0
7/6/2023 3:00,3.91,4.19,0.093,4.06,0
7/6/2023 3:15,3.89,4.14,0.092,4.03,0
7/6/2023 3:30,3.86,4.05,0.090,3.98,0
7/6/2023 3:45,3.79,3.86,0.085,3.87,0
7/6/2023 4:00,3.76,3.77,0.083,3.83,0
7/6/2023 4:15,3.81,3.91,0.086,3.91,0
7/6/2023 4:30,3.75,3.75,0.082,3.81,0
7/6/2023 4:45,3.73,3.69,0.081,3.78,0
7/6/2023 5:00,3.71,3.63,0.080,3.75,0
7/6/2023 5:15,3.64,3.44,0.075,3.64,0
7/6/2023 5:30,3.71,3.63,0.080,3.75,0
7/6/2023 5:45,3.72,3.66,0.080,3.77,0
7/6/2023 6:00,3.68,3.55,0.078,3.70,0
7/6/2023 6:15,3.77,3.80,0.084,3.84,0
7/6/2023 6:30,3.73,3.69,0.081,3.78,0
7/6/2023 6:45,3.73,3.69,0.081,3.78,0
7/6/2023 7:00,3.7,3.61,0.079,3.73,0
7/6/2023 7:15,3.66,3.49,0.076,3.67,0
7/6/2023 7:30,3.66,3.49,0.076,3.67,0
7/6/2023 7:45,3.61,3.35,0.073,3.59,0
7/6/2023 8:00,3.63,3.41,0.074,3.63,0
7/6/2023 8:15,3.58,3.27,0.071,3.55,0
7/6/2023 8:30,3.58,3.27,0.071,3.55,0
7/6/2023 8:45,3.54,3.16,0.069,3.48,0
7/6/2023 9:00,3.59,3.30,0.072,3.56,0
7/6/2023 9:15,3.5,3.05,0.066,3.42,0
7/6/2023 9:30,3.52,3.10,0.067,3.45,0
7/6/2023 9:45,3.59,3.30,0.072,3.56,0
7/6/2023 10:00,3.59,3.30,0.072,3.56,0
7/6/2023 10:15,3.64,3.44,0.075,3.64,0
7/6/2023 10:30,3.66,3.49,0.076,3.67,0
7/6/2023 10:45,3.77,3.80,0.084,3.84,0
7/6/2023 11:00,3.85,4.02,0.089,3.97,0
7/6/2023 11:15,3.86,4.05,0.090,3.98,0
7/6/2023 11:30,3.92,4.22,0.094,4.08,0
7/6/2023 11:45,4.01,4.47,0.100,4.22,0
7/6/2023 12:00,3.98,4.39,0.098,4.17,0
7/6/2023 12:15,3.98,4.39,0.098,4.17,0
7/6/2023 12:30,4.05,4.58,0.102,4.28,0
7/6/2023 12:45,4.08,4.67,0.104,4.33,0
7/6/2023 13:00,4.14,4.83,0.108,4.42,0
7/6/2023 13:15,4.2,5.00,0.112,4.51,0
7/6/2023 13:30,6.49,11.39,0.263,8.08,1.807096
7/6/2023 13:45,5.44,8.46,0.194,6.44,0.515176
7/6/2023 14:00,4.71,6.42,0.146,5.31,0
7/6/2023 14:15,5.94,9.85,0.227,7.22,1.130376
7/6/2023 14:30,4.82,6.73,0.153,5.48,0
7/6/2023 14:45,4.51,5.86,0.133,5.00,0
7/6/2023 15:00,6.09,10.27,0.237,7.46,1.314936
7/6/2023 15:15,4.88,6.90,0.157,5.57,0
7/6/2023 15:30,4.7,6.39,0.145,5.29,0
7/6/2023 15:45,4.64,6.23,0.141,5.20,0
7/6/2023 16:00,4.44,5.67,0.128,4.89,0
7/6/2023 16:15,4.48,5.78,0.131,4.95,0
7/6/2023 16:30,4.35,5.42,0.122,4.75,0
7/6/2023 16:45,4.31,5.31,0.119,4.68,0
7/6/2023 17:00,4.3,5.28,0.119,4.67,0
7/6/2023 17:15,4.36,5.45,0.123,4.76,0
7/6/2023 17:30,4.67,6.31,0.143,5.25,0
7/6/2023 17:45,4.9,6.95,0.158,5.60,0
7/6/2023 18:00,4.62,6.17,0.140,5.17,0
7/6/2023 18:15,4.5,5.84,0.132,4.98,0
7/6/2023 18:30,4.49,5.81,0.131,4.96,0
7/6/2023 18:45,4.48,5.78,0.131,4.95,0
7/6/2023 19:00,5.25,7.93,0.181,6.15,0.2814
7/6/2023 19:15,4.6,6.12,0.139,5.14,0
7/6/2023 19:30,4.42,5.61,0.127,4.86,0
7/6/2023 19:45,4.4,5.56,0.125,4.82,0
7/6/2023 20:00,4.53,5.92,0.134,5.03,0
7/6/2023 20:15,4.56,6.00,0.136,5.07,0
7/6/2023 20:30,4.46,5.72,0.129,4.92,0
7/6/2023 20:45,4.33,5.36,0.121,4.72,0
7/6/2023 21:00,4.52,5.89,0.133,5.01,0
7/6/2023 21:15,4.51,5.86,0.133,5.00,0
7/6/2023 21:30,4.51,5.86,0.133,5.00,0
7/6/2023 21:45,4.63,6.20,0.140,5.18,0
7/6/2023 22:00,4.85,6.81,0.155,5.53,0
7/6/2023 22:15,4.56,6.00,0.136,5.07,0
7/6/2023 22:30,4.52,5.89,0.133,5.01,0
7/6/2023 22:45,4.46,5.72,0.129,4.92,0
7/6/2023 23:00,4.49,5.81,0.131,4.96,0
7/6/2023 23:15,4.48,5.78,0.131,4.95,0
7/6/2023 23:30,4.46,5.72,0.129,4.92,0
7/6/2023 23:45,4.42,5.61,0.127,4.86,0
7/7/2023 0:00,4.35,5.42,0.122,4.75,0
7/7/2023 0:15,4.29,5.25,0.118,4.65,0
7/7/2023 0:30,4.25,5.14,0.115,4.59,0
7/7/2023 0:45,4.29,5.25,0.118,4.65,0
7/7/2023 1:00,4.26,5.17,0.116,4.61,0
7/7/2023 1:15,4.26,5.17,0.116,4.61,0
7/7/2023 1:30,4.37,5.47,0.123,4.78,0
7/7/2023 1:45,4.4,5.56,0.125,4.82,0
7/7/2023 2:00,4.31,5.31,0.119,4.68,0
7/7/2023 2:15,4.18,4.94,0.111,4.48,0
7/7/2023 2:30,4.12,4.78,0.107,4.39,0
7/7/2023 2:45,4.03,4.53,0.101,4.25,0
7/7/2023 3:00,4,4.44,0.099,4.20,0
7/7/2023 3:15,3.97,4.36,0.097,4.15,0
7/7/2023 3:30,3.92,4.22,0.094,4.08,0
7/7/2023 3:45,3.9,4.16,0.092,4.05,0
7/7/2023 4:00,3.85,4.02,0.089,3.97,0
7/7/2023 4:15,3.88,4.11,0.091,4.01,0
7/7/2023 4:30,3.92,4.22,0.094,4.08,0
7/7/2023 4:45,4,4.44,0.099,4.20,0
7/7/2023 5:00,3.96,4.33,0.096,4.14,0
7/7/2023 5:15,3.81,3.91,0.086,3.91,0
7/7/2023 5:30,3.81,3.91,0.086,3.91,0
7/7/2023 5:45,3.86,4.05,0.090,3.98,0
7/7/2023 6:00,3.89,4.14,0.092,4.03,0
7/7/2023 6:15,4.13,4.80,0.107,4.40,0
7/7/2023 6:30,4.25,5.14,0.115,4.59,0
7/7/2023 6:45,4.03,4.53,0.101,4.25,0
7/7/2023 7:00,4.16,4.89,0.109,4.45,0
7/7/2023 7:15,4.21,5.03,0.113,4.53,0
7/7/2023 7:30,4.13,4.80,0.107,4.40,0
7/7/2023 7:45,4.19,4.97,0.111,4.50,0
