season,start,end
spring,2023-04-17 20:13:00,2023-04-17 21:55:00
spring,2023-04-18 00:29:00,2023-04-18 00:30:00
spring,2023-04-18 01:12:00,2023-04-18 01:16:00
spring,2023-04-18 02:04:00,2023-04-18 02:22:00
spring,2023-04-18 07:44:00,2023-04-18 07:46:00
spring,2023-04-18 10:58:00,2023-04-18 11:01:00
spring,2023-04-18 13:50:00,2023-04-18 19:56:00
spring,2023-04-18 20:00:00,2023-04-18 21:40:00
spring,2023-04-18 21:55:00,2023-04-18 22:22:00
spring,2023-04-18 23:28:00,2023-04-18 23:32:00
spring,2023-04-19 00:39:00,2023-04-19 01:16:00
spring,2023-04-19 04:28:00,2023-04-19 04:30:00
spring,2023-04-19 06:22:00,2023-04-19 06:36:00
spring,2023-04-19 14:35:00,2023-04-19 15:18:00
spring,2023-04-19 15:36:00,2023-04-19 15:56:00
spring,2023-04-19 16:01:00,2023-04-19 17:12:00
spring,2023-04-19 17:18:00,2023-04-19 18:59:00
spring,2023-04-19 19:09:00,2023-04-19 19:33:00
spring,2023-04-19 21:20:00,2023-04-19 21:38:00
spring,2023-04-20 09:07:00,2023-04-20 09:21:00
spring,2023-04-20 23:29:00,2023-04-20 23:30:00
spring,2023-04-21 03:29:00,2023-04-21 03:30:00
spring,2023-04-21 07:44:00,2023-04-21 07:45:00
spring,2023-04-24 14:42:00,2023-04-24 15:20:00
spring,2023-04-24 15:58:00,2023-04-24 16:26:00
spring,2023-04-24 17:13:00,2023-04-24 17:15:00
spring,2023-04-24 17:55:00,2023-04-24 18:24:00
spring,2023-04-24 18:38:00,2023-04-24 19:01:00
spring,2023-04-24 20:14:00,2023-04-24 20:16:00
spring,2023-04-26 14:22:00,2023-04-26 15:01:00
spring,2023-04-29 14:27:00,2023-04-29 14:33:00
spring,2023-04-29 17:25:00,2023-04-29 17:38:00
spring,2023-04-29 17:59:00,2023-04-29 18:36:00
spring,2023-04-30 14:10:00,2023-05-01 01:47:00
spring,2023-05-01 04:09:00,2023-05-01 04:19:00
spring,2023-05-01 05:17:00,2023-05-01 05:32:00
spring,2023-05-01 13:15:00,2023-05-01 13:41:00
spring,2023-05-01 14:12:00,2023-05-01 21:44:00
spring,2023-05-01 21:45:00,2023-05-01 22:08:00
spring,2023-05-01 22:23:00,2023-05-01 23:10:00
spring,2023-05-01 23:21:00,2023-05-01 23:54:00
spring,2023-05-02 00:04:00,2023-05-02 01:11:00
spring,2023-05-02 01:29:00,2023-05-02 01:30:00
spring,2023-05-02 18:42:00,2023-05-02 18:46:00
spring,2023-05-03 07:27:00,2023-05-03 07:33:00
spring,2023-05-03 12:26:00,2023-05-03 12:32:00
spring,2023-05-03 14:55:00,2023-05-03 15:07:00
spring,2023-05-03 15:17:00,2023-05-03 22:54:00
spring,2023-05-04 00:52:00,2023-05-04 01:09:00
spring,2023-05-04 01:56:00,2023-05-04 02:04:00
spring,2023-05-04 15:49:00,2023-05-04 16:15:00
spring,2023-05-04 16:32:00,2023-05-04 17:36:00
spring,2023-05-04 17:52:00,2023-05-04 18:05:00
spring,2023-05-04 18:25:00,2023-05-04 19:54:00
summer,2023-07-06 13:24:00,2023-07-06 13:44:00
summer,2023-07-06 14:11:00,2023-07-06 14:21:00
summer,2023-07-06 14:55:00,2023-07-06 15:07:00
summer,2023-07-07 15:56:00,2023-07-07 16:15:00
summer,2023-07-09 04:48:00,2023-07-09 05:24:00
summer,2023-07-09 05:36:00,2023-07-09 05:50:00
summer,2023-07-09 15:50:00,2023-07-09 16:06:00
summer,2023-07-09 16:53:00,2023-07-09 17:12:00
summer,2023-07-09 17:19:00,2023-07-09 17:54:00
summer,2023-07-09 18:23:00,2023-07-09 19:01:00
summer,2023-07-11 08:02:00,2023-07-11 08:17:00
summer,2023-07-11 12:43:00,2023-07-11 13:07:00
summer,2023-07-11 15:50:00,2023-07-11 15:58:00
summer,2023-07-12 05:56:00,2023-07-12 06:06:00
summer,2023-07-13 07:03:00,2023-07-13 07:40:00
summer,2023-07-13 07:49:00,2023-07-13 09:06:00
summer,2023-07-13 17:06:00,2023-07-13 18:27:00
summer,2023-07-13 18:32:00,2023-07-13 19:08:00
summer,2023-07-18 07:53:00,2023-07-18 08:04:00
summer,2023-07-19 08:56:00,2023-07-19 09:07:00
summer,2023-07-19 15:39:00,2023-07-19 16:04:00
summer,2023-07-19 16:46:00,2023-07-19 17:03:00
summer,2023-07-19 17:26:00,2023-07-19 17:40:00
summer,2023-07-19 20:40:00,2023-07-19 20:54:00
summer,2023-07-20 07:35:00,2023-07-20 09:30:00
summer,2023-07-20 12:43:00,2023-07-20 13:59:00
summer,2023-07-20 14:31:00,2023-07-20 14:57:00
summer,2023-07-20 18:30:00,2023-07-20 18:36:00
summer,2023-07-20 20:18:00,2023-07-20 20:57:00
summer,2023-07-20 23:42:00,2023-07-20 23:49:00
summer,2023-07-21 04:30:00,2023-07-21 04:31:00
summer,2023-07-21 20:25:00,2023-07-21 20:37:00
summer,2023-07-21 21:21:00,2023-07-21 21:40:00
summer,2023-07-21 22:12:00,2023-07-21 22:17:00
summer,2023-07-22 04:24:00,2023-07-22 04:38:00
summer,2023-07-22 13:42:00,2023-07-22 13:52:00
summer,2023-07-22 16:06:00,2023-07-22 20:11:00
summer,2023-07-22 20:36:00,2023-07-22 20:58:00
summer,2023-07-23 13:15:00,2023-07-23 13:16:00
summer,2023-07-25 07:57:00,2023-07-25 08:11:00
summer,2023-07-25 18:40:00,2023-07-25 20:14:00
summer,2023-07-25 22:00:00,2023-07-25 22:01:00
summer,2023-07-26 14:13:00,2023-07-26 14:21:00
summer,2023-07-26 14:59:00,2023-07-26 15:02:00
summer,2023-07-27 15:51:00,2023-07-27 17:30:00
summer,2023-07-27 17:31:00,2023-07-27 18:07:00
summer,2023-07-27 18:29:00,2023-07-27 20:45:00
summer,2023-07-28 23:37:00,2023-07-29 00:48:00
summer,2023-07-29 13:34:00,2023-07-29 21:59:00
summer,2023-08-03 17:05:00,2023-08-03 17:24:00
summer,2023-08-03 18:39:00,2023-08-03 18:51:00
summer,2023-08-08 06:43:00,2023-08-08 06:52:00
summer,2023-08-08 07:40:00,2023-08-08 07:53:00
summer,2023-08-08 14:23:00,2023-08-08 15:01:00
summer,2023-08-08 18:30:00,2023-08-08 18:34:00
summer,2023-08-08 18:51:00,2023-08-08 19:06:00
summer,2023-08-08 20:26:00,2023-08-08 21:28:00
summer,2023-08-11 16:33:00,2023-08-11 18:19:00
summer,2023-08-11 19:11:00,2023-08-11 19:22:00
summer,2023-08-11 20:26:00,2023-08-11 20:39:00
summer,2023-08-12 15:28:00,2023-08-12 15:33:00
summer,2023-08-13 18:31:00,2023-08-13 22:44:00
summer,2023-08-19 16:58:00,2023-08-19 17:14:00
summer,2023-08-20 19:52:00,2023-08-20 20:09:00
summer,2023-08-25 20:45:00,2023-08-25 20:48:00
summer,2023-08-28 12:03:00,2023-08-28 16:54:00
summer,2023-08-31 17:24:00,2023-08-31 17:53:00
summer,2023-09-10 19:49:00,2023-09-10 20:32:00
summer,2023-09-11 06:57:00,2023-09-11 07:06:00
summer,2023-09-14 14:43:00,2023-09-14 20:50:00
