season,start,end
spring,2023-04-17 18:45:00,2023-04-19 12:15:00
spring,2023-04-19 12:30:00,2023-04-20 04:45:00
spring,2023-04-20 05:15:00,2023-04-20 17:30:00
spring,2023-04-20 17:45:00,2023-04-20 19:15:00
spring,2023-04-20 19:30:00,2023-04-20 19:45:00
spring,2023-04-20 20:00:00,2023-04-20 21:00:00
spring,2023-04-20 21:15:00,2023-04-20 22:15:00
spring,2023-04-20 22:30:00,2023-04-21 00:15:00
spring,2023-04-21 01:00:00,2023-04-21 01:15:00
spring,2023-04-21 02:30:00,2023-04-21 03:45:00
spring,2023-04-21 05:15:00,2023-04-21 05:30:00
spring,2023-04-21 06:30:00,2023-04-21 07:15:00
spring,2023-04-21 07:30:00,2023-04-21 08:45:00
spring,2023-04-21 10:30:00,2023-04-21 10:45:00
spring,2023-04-21 12:00:00,2023-04-21 12:15:00
spring,2023-04-21 13:00:00,2023-04-21 13:15:00
spring,2023-04-21 14:00:00,2023-04-21 14:15:00
spring,2023-04-21 14:45:00,2023-04-21 15:30:00
spring,2023-04-21 15:45:00,2023-04-21 16:45:00
spring,2023-04-21 17:00:00,2023-04-21 17:45:00
spring,2023-04-21 18:45:00,2023-04-21 19:45:00
spring,2023-04-21 20:30:00,2023-04-21 20:45:00
spring,2023-04-21 21:00:00,2023-04-21 21:15:00
spring,2023-04-22 00:30:00,2023-04-22 00:45:00
spring,2023-04-22 01:30:00,2023-04-22 01:45:00
spring,2023-04-22 04:00:00,2023-04-22 04:30:00
spring,2023-04-22 07:15:00,2023-04-22 07:45:00
spring,2023-04-22 09:00:00,2023-04-22 09:30:00
spring,2023-04-22 13:00:00,2023-04-22 13:15:00
spring,2023-04-22 14:15:00,2023-04-22 14:30:00
spring,2023-04-22 15:15:00,2023-04-22 16:45:00
spring,2023-04-22 17:00:00,2023-04-22 18:15:00
spring,2023-04-22 19:00:00,2023-04-22 19:30:00
spring,2023-04-22 20:30:00,2023-04-22 21:00:00
spring,2023-04-22 21:30:00,2023-04-22 21:45:00
spring,2023-04-23 00:00:00,2023-04-23 00:15:00
spring,2023-04-23 01:15:00,2023-04-23 01:30:00
spring,2023-04-23 03:00:00,2023-04-23 03:15:00
spring,2023-04-23 04:30:00,2023-04-23 05:00:00
spring,2023-04-23 06:45:00,2023-04-23 07:00:00
spring,2023-04-23 07:45:00,2023-04-23 08:00:00
spring,2023-04-23 10:15:00,2023-04-23 10:30:00
spring,2023-04-23 13:00:00,2023-04-23 14:30:00
spring,2023-04-23 14:45:00,2023-04-23 15:15:00
spring,2023-04-23 15:30:00,2023-04-23 18:15:00
spring,2023-04-23 18:30:00,2023-04-23 19:30:00
spring,2023-04-23 21:45:00,2023-04-23 22:00:00
spring,2023-04-24 01:00:00,2023-04-24 01:15:00
spring,2023-04-24 02:45:00,2023-04-24 03:00:00
spring,2023-04-24 03:45:00,2023-04-24 04:00:00
spring,2023-04-24 10:45:00,2023-04-24 11:00:00
spring,2023-04-24 11:30:00,2023-04-24 11:45:00
spring,2023-04-24 12:45:00,2023-04-24 13:15:00
spring,2023-04-24 13:30:00,2023-04-24 14:15:00
spring,2023-04-24 14:30:00,2023-04-24 21:00:00
spring,2023-04-24 21:30:00,2023-04-24 21:45:00
spring,2023-04-24 22:30:00,2023-04-24 23:30:00
spring,2023-04-25 01:15:00,2023-04-25 02:00:00
spring,2023-04-25 02:15:00,2023-04-25 02:30:00
spring,2023-04-25 04:00:00,2023-04-25 04:15:00
spring,2023-04-25 05:45:00,2023-04-25 06:00:00
spring,2023-04-25 06:15:00,2023-04-25 06:30:00
spring,2023-04-25 07:15:00,2023-04-25 07:30:00
spring,2023-04-25 07:45:00,2023-04-25 08:00:00
spring,2023-04-25 09:00:00,2023-04-25 10:00:00
spring,2023-04-25 12:00:00,2023-04-25 12:15:00
spring,2023-04-25 13:15:00,2023-04-25 13:45:00
spring,2023-04-25 14:00:00,2023-04-25 14:15:00
spring,2023-04-25 14:45:00,2023-04-25 15:15:00
spring,2023-04-25 15:45:00,2023-04-25 16:00:00
spring,2023-04-25 18:00:00,2023-04-25 18:15:00
spring,2023-04-25 18:30:00,2023-04-25 18:45:00
spring,2023-04-25 20:00:00,2023-04-25 20:30:00
spring,2023-04-26 07:00:00,2023-04-26 07:15:00
spring,2023-04-26 08:00:00,2023-04-26 08:30:00
spring,2023-04-26 12:30:00,2023-04-26 13:00:00
spring,2023-04-26 14:15:00,2023-04-26 15:30:00
spring,2023-04-26 19:15:00,2023-04-26 19:30:00
spring,2023-04-27 07:45:00,2023-04-27 08:00:00
spring,2023-04-27 15:15:00,2023-04-27 16:00:00
spring,2023-04-27 16:15:00,2023-04-27 16:30:00
spring,2023-04-27 17:00:00,2023-04-27 17:30:00
spring,2023-04-27 17:45:00,2023-04-27 18:00:00
spring,2023-04-27 18:30:00,2023-04-27 19:00:00
spring,2023-04-27 20:30:00,2023-04-27 21:15:00
spring,2023-04-28 02:15:00,2023-04-28 02:30:00
spring,2023-04-28 06:00:00,2023-04-28 06:15:00
spring,2023-04-28 06:30:00,2023-04-28 06:45:00
spring,2023-04-28 14:45:00,2023-04-28 15:15:00
spring,2023-04-28 16:00:00,2023-04-28 16:15:00
spring,2023-04-28 17:30:00,2023-04-28 18:00:00
spring,2023-04-28 20:00:00,2023-04-28 20:15:00
spring,2023-04-28 22:15:00,2023-04-28 22:30:00
spring,2023-04-28 23:00:00,2023-04-28 23:15:00
spring,2023-04-29 14:15:00,2023-04-29 15:15:00
spring,2023-04-29 16:15:00,2023-04-29 21:30:00
spring,2023-04-29 21:45:00,2023-04-29 22:00:00
spring,2023-04-29 23:45:00,2023-04-30 00:30:00
spring,2023-04-30 00:45:00,2023-04-30 01:15:00
spring,2023-04-30 01:30:00,2023-04-30 01:45:00
spring,2023-04-30 02:00:00,2023-04-30 02:15:00
spring,2023-04-30 02:30:00,2023-04-30 03:30:00
spring,2023-04-30 04:30:00,2023-04-30 04:45:00
spring,2023-04-30 05:30:00,2023-04-30 06:00:00
spring,2023-04-30 06:30:00,2023-04-30 06:45:00
spring,2023-04-30 08:15:00,2023-04-30 08:30:00
spring,2023-04-30 09:00:00,2023-04-30 09:15:00
spring,2023-04-30 09:30:00,2023-04-30 09:45:00
spring,2023-04-30 13:00:00,2023-05-01 02:30:00
spring,2023-05-01 02:45:00,2023-05-01 06:30:00
spring,2023-05-01 07:45:00,2023-05-01 08:30:00
spring,2023-05-01 08:45:00,2023-05-01 09:15:00
spring,2023-05-01 09:45:00,2023-05-02 04:15:00
