sample,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-A,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
0.37,0.000119548,0.000154696,0.000107722,0.000145494,8.99621E-05,9.53592E-05,0.000157691,0.000108723,0.000194235,0.000156468,0.000156703,0.000269067,0.000172243,0.000133382,0.000199552,0.000128587,7.71837E-05,0.000124929,0.000198925,0.000147516,0.000203239,9.62322E-05,0.000102527
0.44,0.000126143,0.000164364,0.000113424,0.000154631,9.60194E-05,0.000100675,0.000168412,0.000115177,0.00020692,0.000166084,0.000165321,0.000286814,0.000183832,0.000142311,0.000211699,0.000137015,8.04336E-05,0.000132089,0.000208204,0.000154373,0.000215456,0.00010106,0.000107981
0.52,0.000136449,0.000179941,0.000122054,0.00016904,0.000105442,0.000109314,0.000186281,0.000125106,0.000226739,0.000180944,0.000179363,0.000315438,0.000202794,0.000156542,0.000231654,0.000150018,8.49833E-05,0.0001432,0.000222123,0.000165177,0.000234336,0.000108302,0.000116979
0.61,0.000151496,0.000203038,0.000134846,0.000190829,0.000119576,0.000121276,0.000213084,0.000139668,0.00025528,0.000203088,0.000199789,0.000357229,0.000230185,0.00017747,0.000259418,0.000169522,9.1808E-05,0.000159248,0.000241841,0.000180551,0.000263211,0.000118762,0.000130068
0.72,0.000172313,0.000234192,0.000152106,0.000220701,0.000138869,0.000139882,0.000250608,0.000159857,0.000297298,0.000233683,0.000228513,0.000413905,0.00026811,0.000205933,0.000300196,0.000196492,0.00010107,0.000181222,0.000268809,0.000201536,0.000303193,0.000133406,0.000148337
0.85,0.00020117,0.000277701,0.000176763,0.000262171,0.000164669,0.000165466,0.00030064,0.000187659,0.00035438,0.000275349,0.000268407,0.000487756,0.000315516,0.000243882,0.000354856,0.000232612,0.000115532,0.000210849,0.000308826,0.000232078,0.000357612,0.000154326,0.000174242
1.01,0.000250019,0.000345917,0.000219143,0.000327889,0.000205724,0.000207996,0.000374795,0.000232836,0.000443173,0.000342949,0.000335428,0.000602825,0.000388206,0.000303039,0.000441617,0.0002892,0.000142993,0.000259735,0.00038132,0.000286722,0.000445349,0.000191338,0.000217052
1.19,0.000349368,0.00048235,0.000305598,0.000455811,0.000287385,0.0002894,0.000515958,0.000323521,0.000613624,0.000476398,0.000467557,0.000831245,0.000534639,0.000420236,0.00061167,0.000401412,0.000199215,0.000359234,0.000530659,0.000397878,0.000616936,0.000266007,0.000302401
1.4,0.000510757,0.000707949,0.00044368,0.000663509,0.00042244,0.000417653,0.000747357,0.000469147,0.000888724,0.00069289,0.000679793,0.001207939,0.000774832,0.000611659,0.000883235,0.000585382,0.000286311,0.000521445,0.000764961,0.000571366,0.00089403,0.000383642,0.000437922
1.65,0.000639786,0.000889501,0.000551557,0.000829387,0.000532593,0.000519325,0.000930064,0.000582669,0.001111499,0.000863053,0.000847348,0.001500478,0.000956557,0.000760946,0.001089728,0.000730825,0.00035212,0.000646127,0.000940977,0.00070226,0.001111151,0.000472793,0.00054454
1.95,0.000746348,0.001038289,0.000639553,0.000966446,0.000625023,0.00060073,0.00107346,0.000673023,0.001285122,0.000996212,0.000982349,0.001730616,0.001096142,0.000878701,0.001248502,0.000843278,0.000404118,0.000744639,0.001081326,0.000806145,0.001282738,0.000543117,0.000630706
2.3,0.000845902,0.001186002,0.000722618,0.001102452,0.000719921,0.000680472,0.001215516,0.000756758,0.001453987,0.001121794,0.001113839,0.001943008,0.00122888,0.000992829,0.001400335,0.00094947,0.000449128,0.000840188,0.001211816,0.000899641,0.001455436,0.00060636,0.0007136
2.72,0.000917013,0.001290744,0.000785032,0.001201908,0.000790814,0.000731973,0.001309774,0.000818152,0.00156815,0.001212703,0.001209266,0.002097578,0.001321586,0.001075146,0.001504449,0.001029416,0.000484551,0.000906603,0.001308668,0.000971321,0.001578157,0.000652706,0.000772772
3.2,0.000972252,0.001376686,0.000836351,0.001284495,0.000851835,0.000776828,0.001386609,0.000867632,0.001660907,0.001286421,0.001292245,0.002211502,0.001387955,0.001137651,0.001586005,0.001096599,0.000513962,0.000959439,0.001392762,0.001031159,0.001682553,0.000691488,0.000819672
3.78,0.001033881,0.001464777,0.000898457,0.001367785,0.000914876,0.000819358,0.001462104,0.000926378,0.0017497,0.001375582,0.001385757,0.00235176,0.001459065,0.001200436,0.00166062,0.001174617,0.000552473,0.001014003,0.001496864,0.001108034,0.001782506,0.000740087,0.0008693
4.46,0.001115091,0.001575964,0.000982292,0.001473216,0.000994518,0.000878833,0.001560382,0.001006638,0.001867034,0.001498542,0.001511183,0.002537245,0.00155019,0.001279404,0.001759529,0.001278883,0.000606908,0.001087331,0.001648812,0.001216905,0.001916888,0.000808802,0.000935561
5.27,0.001194858,0.001686615,0.001071213,0.001577943,0.001074609,0.000938972,0.001656426,0.001089876,0.001984367,0.001625873,0.001641716,0.002728454,0.001641316,0.001357536,0.001858437,0.001382186,0.000667355,0.001165844,0.001828598,0.001341151,0.002056268,0.00088347,0.001004003
6.21,0.001279365,0.001806934,0.001165528,0.001693214,0.001157392,0.001007086,0.001760064,0.001177583,0.002113593,0.001756118,0.001777356,0.002939128,0.00174561,0.001445155,0.001971227,0.001481877,0.000735439,0.00125843,0.002046081,0.001489498,0.002217305,0.000966346,0.001081717
