Size,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-A,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
0.37,0.158,0.151,0.145,0.155,0.146,0.142,0.158,0.167,0.174,0.174,0.142,0.192,0.194,0.177,0.177,0.18,0.16,0.152,0.149,0.16,0.151,0.157,0.145
0.44,0.166,0.16,0.152,0.165,0.156,0.15,0.169,0.177,0.185,0.185,0.149,0.204,0.207,0.189,0.188,0.192,0.167,0.161,0.156,0.167,0.16,0.165,0.153
0.52,0.18,0.175,0.164,0.18,0.172,0.162,0.187,0.192,0.203,0.201,0.162,0.225,0.228,0.208,0.205,0.21,0.176,0.175,0.167,0.179,0.174,0.177,0.165
0.61,0.2,0.198,0.181,0.203,0.195,0.18,0.214,0.215,0.228,0.226,0.18,0.254,0.259,0.236,0.23,0.237,0.19,0.194,0.182,0.196,0.196,0.194,0.184
0.72,0.227,0.228,0.204,0.235,0.226,0.208,0.251,0.246,0.266,0.26,0.206,0.295,0.302,0.273,0.266,0.275,0.21,0.221,0.202,0.218,0.226,0.218,0.21
0.85,0.265,0.271,0.238,0.279,0.268,0.246,0.301,0.289,0.317,0.307,0.242,0.347,0.355,0.324,0.314,0.325,0.24,0.257,0.232,0.251,0.266,0.252,0.246
1.01,0.33,0.337,0.295,0.349,0.335,0.309,0.376,0.358,0.396,0.382,0.303,0.429,0.437,0.402,0.391,0.404,0.296,0.317,0.286,0.311,0.331,0.312,0.307
1.19,0.461,0.47,0.411,0.486,0.468,0.43,0.517,0.498,0.549,0.53,0.422,0.592,0.601,0.558,0.542,0.561,0.413,0.438,0.398,0.431,0.459,0.434,0.427
1.4,0.673,0.69,0.596,0.707,0.687,0.62,0.749,0.722,0.795,0.772,0.614,0.86,0.871,0.812,0.783,0.818,0.594,0.636,0.574,0.619,0.665,0.627,0.619
1.65,0.843,0.867,0.741,0.884,0.866,0.771,0.932,0.896,0.994,0.961,0.765,1.069,1.076,1.011,0.966,1.022,0.73,0.788,0.706,0.761,0.826,0.772,0.77
1.95,0.984,1.012,0.86,1.03,1.017,0.892,1.076,1.035,1.15,1.109,0.887,1.232,1.233,1.167,1.106,1.179,0.838,0.908,0.812,0.873,0.954,0.887,0.891
2.3,1.115,1.156,0.971,1.175,1.171,1.011,1.218,1.164,1.301,1.249,1.006,1.384,1.382,1.319,1.241,1.327,0.931,1.025,0.91,0.974,1.082,0.99,1.008
2.72,1.209,1.258,1.055,1.281,1.287,1.087,1.313,1.258,1.403,1.35,1.092,1.494,1.486,1.428,1.333,1.439,1.005,1.106,0.982,1.052,1.174,1.066,1.092
3.2,1.282,1.342,1.124,1.369,1.386,1.154,1.39,1.334,1.486,1.432,1.167,1.575,1.561,1.511,1.405,1.533,1.066,1.17,1.046,1.117,1.251,1.129,1.158
3.78,1.363,1.427,1.208,1.458,1.488,1.217,1.465,1.425,1.565,1.532,1.252,1.675,1.641,1.594,1.471,1.642,1.145,1.237,1.124,1.2,1.326,1.209,1.228
4.46,1.47,1.536,1.321,1.57,1.618,1.305,1.564,1.548,1.67,1.669,1.365,1.807,1.744,1.699,1.559,1.788,1.258,1.326,1.238,1.318,1.426,1.321,1.322
5.27,1.575,1.644,1.44,1.682,1.748,1.395,1.66,1.676,1.775,1.81,1.483,1.943,1.846,1.803,1.647,1.932,1.384,1.422,1.373,1.453,1.529,1.443,1.419
6.21,1.686,1.761,1.567,1.805,1.883,1.496,1.764,1.811,1.891,1.955,1.605,2.093,1.963,1.919,1.747,2.072,1.525,1.535,1.536,1.613,1.649,1.578,1.529
7.33,1.798,1.88,1.694,1.929,2.01,1.607,1.871,1.947,2.01,2.098,1.729,2.249,2.09,2.041,1.857,2.211,1.684,1.658,1.721,1.796,1.777,1.727,1.649
8.65,1.917,2.007,1.828,2.061,2.146,1.731,1.99,2.092,2.138,2.253,1.861,2.415,2.231,2.172,1.974,2.37,1.87,1.791,1.931,2.004,1.913,1.899,1.784
10.21,2.071,2.182,1.986,2.243,2.325,1.905,2.161,2.269,2.323,2.433,2.017,2.623,2.428,2.348,2.13,2.546,2.091,1.972,2.184,2.245,2.093,2.114,1.968
12.05,2.266,2.391,2.173,2.464,2.526,2.113,2.373,2.486,2.543,2.635,2.203,2.873,2.667,2.554,2.324,2.765,2.36,2.186,2.481,2.523,2.298,2.381,2.184
14.22,2.578,2.706,2.475,2.8,2.83,2.413,2.694,2.818,2.882,2.944,2.498,3.233,3.02,2.865,2.625,3.13,2.776,2.502,2.92,2.941,2.601,2.795,2.487
16.78,2.98,3.123,2.879,3.247,3.223,2.791,3.122,3.232,3.34,3.33,2.882,3.656,3.466,3.283,3.053,3.589,3.3,2.926,3.477,3.459,3.013,3.331,2.867
19.81,3.484,3.636,3.403,3.802,3.698,3.232,3.647,3.753,3.907,3.824,3.393,4.125,3.986,3.805,3.619,4.176,3.976,3.458,4.183,4.113,3.57,3.999,3.343
23.37,4.052,4.234,4.023,4.454,4.246,3.712,4.265,4.318,4.58,4.427,4.018,4.569,4.55,4.423,4.324,4.797,4.732,4.092,4.988,4.882,4.317,4.719,3.959
27.58,4.757,4.951,4.834,5.225,4.854,4.246,5.009,5.017,5.348,5.225,4.808,5.087,5.155,5.118,5.152,5.495,5.633,4.829,5.936,5.838,5.264,5.581,4.777
32.55,5.481,5.661,5.706,5.977,5.363,4.781,5.763,5.717,6.05,5.972,5.558,5.541,5.674,5.702,5.909,6.097,6.487,5.489,6.707,6.735,6.129,6.4,5.657
38.41,6.205,6.326,6.56,6.665,5.762,5.33,6.51,6.372,6.615,6.534,6.18,5.914,6.077,6.094,6.487,6.508,7.119,6.054,7.154,7.404,6.804,7.062,6.495
45.32,6.721,6.728,7.239,7.068,6.02,5.705,7.001,6.854,6.934,6.861,6.685,6.099,6.228,6.283,6.755,6.674,7.393,6.456,7.349,7.727,7.299,7.408,6.997
53.48,6.672,6.605,7.273,6.916,5.917,5.754,6.945,6.782,6.707,6.58,6.668,5.866,5.968,6.057,6.501,6.399,7.081,6.417,6.938,7.318,7.191,7.12,6.875
63.11,6.455,6.268,6.946,6.53,5.702,5.817,6.643,6.426,6.236,6.122,6.407,5.548,5.617,5.645,5.955,5.853,6.584,6.209,6.351,6.682,6.798,6.64,6.677
74.48,5.663,5.462,6.02,5.6,5.14,5.439,5.738,5.538,5.301,5.172,5.694,4.729,4.882,4.931,5.063,4.766,5.505,5.568,5.281,5.429,5.892,5.505,5.778
87.89,4.91,4.687,5.051,4.656,4.541,5.112,4.806,4.618,4.346,4.187,4.872,3.883,4.173,4.175,4.171,3.596,4.394,4.879,4.161,4.171,4.832,4.355,4.848
103.72,3.999,3.78,3.975,3.591,3.824,4.585,3.747,3.585,3.343,3.255,3.978,3.045,3.364,3.389,3.3,2.604,3.351,4.053,3.187,3.096,3.781,3.283,3.941
122.39,3.247,3.034,3.126,2.724,3.239,4.07,2.877,2.764,2.568,2.493,3.263,2.456,2.696,2.777,2.65,2.028,2.63,3.416,2.558,2.358,2.945,2.58,3.146
144.43,2.584,2.414,2.422,2.033,2.701,3.627,2.18,2.083,1.937,1.9,2.63,1.96,2.149,2.249,2.139,1.508,2.019,2.843,2.015,1.775,2.242,1.989,2.618
170.44,2.032,1.943,1.866,1.533,2.277,3.192,1.657,1.546,1.483,1.37,2.113,1.489,1.72,1.869,1.83,1.062,1.488,2.415,1.532,1.265,1.7,1.465,2.13
201.13,1.489,1.487,1.338,1.097,1.822,2.661,1.194,1.073,1.057,0.926,1.596,1.088,1.316,1.5,1.537,0.726,1.067,1.954,1.104,0.858,1.212,1.029,1.711
237.35,1.18,1.158,1.064,0.793,1.456,2.191,0.863,0.843,0.742,0.745,1.334,0.881,1.009,1.213,1.314,0.596,0.861,1.608,0.886,0.644,0.876,0.814,1.442
280.09,0.998,0.876,0.974,0.547,1.109,1.721,0.59,0.793,0.49,0.752,1.274,0.854,0.735,0.947,1.109,0.736,0.859,1.273,0.85,0.571,0.596,0.791,1.161
330.52,0.879,0.673,0.942,0.387,0.834,1.343,0.408,0.79,0.321,0.799,1.292,0.859,0.535,0.726,0.939,0.995,0.904,1.042,0.833,0.528,0.411,0.807,0.953
390.04,0.733,0.548,0.821,0.306,0.658,1.095,0.312,0.697,0.228,0.653,1.136,0.735,0.426,0.591,0.822,0.982,0.823,0.904,0.69,0.426,0.301,0.707,0.818
460.27,0.662,0.558,0.707,0.338,0.66,1.052,0.333,0.576,0.224,0.403,0.867,0.553,0.452,0.613,0.889,0.655,0.687,0.936,0.512,0.319,0.299,0.568,0.862
TOTAL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
WEIGHT,47.0143,27.5283,14.5052,29.5542,47.4885,71.6942,47.3122,38.7847,54.7466,31.8106,24.1521,27.5703,63.3849,62.8405,29.1807,31.8675,21.8202,25.1962,14.8794,17.0562,23.9974,31.2583,35.0432
COARSESAND,44.0283,25.3848,13.6391,27.3885,45.2764,68.0536,43.5542,36.7335,49.9022,29.5212,22.0495,24.4808,58.8775,59.0761,26.5499,30.0379,20.9233,23.6373,13.1303,15.7163,21.3203,29.7337,33.0428
FINESAND,2.292,1.796,0.716,1.776,1.792,3.091,3.037,1.581,3.825,1.743,1.724,2.217,3.357,2.849,2.034,1.325,0.689,1.336,1.294,1.032,2.143,1.247,1.627
SILT,0.956,0.792,0.271,0.801,0.856,1.18,1.333,0.727,1.85,0.872,0.683,1.283,1.776,1.436,0.922,0.741,0.278,0.523,0.537,0.438,0.862,0.516,0.621
CLAY,0.16,0.129,0.043,0.1296,0.1324,0.198,0.233,0.1209,0.3217,0.146,0.109,0.2207,0.3247,0.254,0.17,0.1231,0.0422,0.088,0.077,0.0656,0.1422,0.08,0.1021
WEIGHTLISST,47.43610299,28.10189506,14.6694558,30.09555421,48.05762126,72.52318124,48.15646427,39.16211087,55.8990001,32.2823253,24.56585182,28.20192501,64.33517937,63.61418269,29.67615387,32.22683496,21.93229892,25.58405166,15.03766524,17.25172734,24.46669918,31.57723139,35.39267848
