trap_pair,summer_mean,spring_mean
T1AB,-4.308062790697654e-05,2.408986046511622e-05
T1CD,-1.7922325581395698e-06,-8.587102325581395e-05
T2AB,2.27409302325571e-06,-9.130739534883758e-05
T3CD,8.920218604651209e-05,5.653118604651145e-05
T5AB,-9.60776046511627e-05,-4.16627441860462e-05
T5CD,-6.744186047229256e-10,-7.290748837209313e-05
T6CD,6.457995348837196e-05,-5.448948837209267e-05
T7AB,-0.0002172691627906979,-5.790786046511648e-05
T7CD,1.0775534883721886e-05,-4.490139534883705e-05
T8CD,0.0004832056976744187,6.846230232558215e-05
